Author Name,Author Username,Tweet Crea,ted At,Tweet Text,Likes,Retweets,Replies,Quotes,Impressions,Bookmark Count
Bobby Lombardi,MediaTechBobby,4/10/2024,01:38:07+00:00,WTAF Arizona!,0,0,0,0,0,0
Puppet Trump,Pee4Putin,4/10/2024,01:38:06+00:00,"Arizona #VoteBlueToProtectYourRights 

Just 1 example: You have a miscarriage. Your doctor would normally prescribe an abortion pill which allows your body to expel the remaining DEAD fetal tissue. Otherwise that stuff stays in you and can make you very sick. That option gone.",0,0,0,0,0,0
Lance Martin,LanceMa24992615,4/10/2024,01:38:00+00:00,As it stands now in Arizona y'all if you are black Asian Indian y'all can't do anything for white peopl y'all are living in 1856 law's A man can marry a 10 yr old girl At the moment in Arizona No woman's Reproductive health &amp; certainly not for black Asian Indian voter's No rights,0,0,0,0,0,0
Marc,GDoc2001,4/10/2024,01:37:42+00:00,"So Arizona is resurrecting an anti-abortion law that dates back to a time when people still owned slaves and women had hardly any rights. 
I guess the Arizona Supreme Court was feeling nostalgic when it rendered its decision.",1,0,0,0,6,0
Linda Riley,LindaRi12288416,4/10/2024,01:37:40+00:00,"When Mitch McConnell  was majority leader during the Obama presidency he intentionally blocked Obama from appointing judges Merrick Garland being one Obama left office with vacant federal judiciary position. The Arizona abortion ban, is a direct result of Mitches work PERIOD",0,0,0,0,4,0
Bill Hinds,billhinds302,4/10/2024,01:37:39+00:00,"There is a flood of people bitching and moaning about some 1864 Arizona Supreme Court ruling on X tonight. My question to all of you posting how much this upsets you, do you actually live in the state of Arizona?",0,0,0,0,3,0
Reed Galen,reedgalen,4/10/2024,01:37:35+00:00,"By @realDonaldTrump’s transitive property, he supports today’s #arizona #AbortionBan. 

Leave it to the states, right dullard?",2,2,0,0,98,0
mswyrr (#lisafrankenstein spoilers),mswyrr,4/10/2024,01:37:24+00:00,"cis male pundits going ""here's how this can help Biden in November! 🤓👍"" about arizona owe an apology to everyone who is going to be hurt by this between now and then",0,0,0,0,2,0
x - amelie or alex 🏳️‍🌈🏒,am_1634,4/10/2024,01:37:19+00:00,One of my coworkers is going to Arizona tomorrow for a week and I’ve had to be so quiet about that and not be like HEY DID U KNOW SOME OF MY FAV HOCKEY PLAYERS ARE FROM ARIZONA,0,0,0,0,2,0
mal1976retaf,mal1976retaf,4/10/2024,01:37:14+00:00,"Of 300,000 jobs cadaver in chief crowed about creating, half were government jobs &amp; the remaining went to H, L visa holders and illegal aliens (all cheap labor Biden voters). 6 Billion to Arizona chip company is former Solyndra CEO who bankrupted company and is Biden buddy.",0,0,0,0,5,0
Earwig Hrothgarsen,LittleWingRae,4/10/2024,01:37:01+00:00,"The Arizona situation is bringing out the crazies today.

Great bolshy Bog Allmächtig ...",0,0,0,0,3,0
egg,erikaxkarina,4/10/2024,01:36:57+00:00,i hate arizona,0,0,0,0,3,0
Onna Block Tv™,Onnablocktv,4/10/2024,01:36:52+00:00,"PHOENIX — The Arizona Supreme Court ruled Tuesday that a 160-year-old near-total abortion ban still on the books in the state is enforceable, a bombshell decision that adds the state to the growing lists of places where abortion care is effectively banned.",0,0,0,0,7,0
Michael Lev,MichaelJLev,4/10/2024,01:36:45+00:00,"Arizona DL Ta'ita'i Uiagalelei says his first name means ""leader.""",1,0,0,0,62,0
chanelly welly,zoadolls,4/10/2024,01:36:16+00:00,watermelon arizona u will forever be great,0,0,0,0,4,0
PERSISTERHOOD,EWADJD_D,4/10/2024,01:36:15+00:00,A law upheld that was passed when Arizona was not yet a State &amp; before Women &amp; Black people could vote. And we were worried about the #MAGAts-GOP taking us back to the 1950s??? HAND MAIDS TALE ON STEROIDS!,0,0,0,0,4,0
tiramisu,tyrabaee,4/10/2024,01:36:01+00:00,Abortion is banned in Arizona lmaoooo get real we’re going back to the dark days,0,0,0,0,2,0
CornLox MLB Betting,CornLoxBB,4/10/2024,01:35:56+00:00,"Arizona has such a strong lineup at the dish. They have had tough matchups so 4-7 looks weak. That’s why I look into more than just the numbers 🔍 
🚨 Pay attention to their following series’ and you will be on the right track.",0,0,0,0,1,0
Kevin Nash,RealKevinNash,4/10/2024,01:35:45+00:00,"Arizona,which became a state in 1912, upholds 1864 abortion law. In related news, it's now legal to have  gunfights at high noon as long as it's one on one and the participants wear cowboy hats.",68,7,2,0,1784,1
Lord Ballsley,Lord_Ballsley,4/10/2024,01:35:40+00:00,"Arizona governor currently;
""If we can't kill our babies then who's babies can we kill!"" (paraphrased)",0,0,0,0,4,0
Kathy Larzelere,klarzelere65,4/10/2024,01:35:32+00:00,"Dear Arizona Legislature and Supreme Court:  If you want to live in the 1800's, I would suggest you start wearing the clothing appropriate for the time.  IT will get really warm in the summer!",0,0,0,0,5,0
Kiki's House,HausenKiki,4/10/2024,01:35:28+00:00,"Arizona SCOTUS has turned women into second class citizens. It's a tough pill to swallow to realize you no longer have full human rights. This will not stand, we will fight back! Our daughters must not have fewer rights than we did. 
#RoevemberIsComing",0,0,0,0,10,0
