Author Name,Author Username,Tweet Crea,ted At,Tweet Text,Likes,Retweets,Replies,Quotes,Impressions,Bookmark Count
Olivia Leach,OliviaOilveaihf,4/10/2024,01:49:41+00:00,Make the most of yourself for that is all there is of you.  #ChampionsLeague #Eclipse2024,0,0,0,0,0,0
Ameen Hussain,AmeenHu48071548,4/10/2024,01:49:29+00:00,"Real and city keeps on giving these bangers 
#ChampionsLeague 
#RMAMCI 
#RealMadridManchesterCity #RealMadrid 
#Foden",0,0,0,0,3,0
DEE $BEYOND $MOJO $BUBBLE,free_human_1,4/10/2024,01:49:18+00:00,"I'm farming $BEYOND because I want that juicy revenue earning token from @PlayGroundCorp. LFG!!!

#lufc #ChampionsLeague #Eclipse2024 #JokerFolieADeux",0,0,0,0,0,0
Sabrina Manning ❤️ Memecoin,wronaradar78891,4/10/2024,01:47:28+00:00,If only wed stop trying to be happy wed have a pretty good time.  #ChampionsLeague,0,0,0,0,0,0
Rigamarole,Rigamarole70076,4/10/2024,01:46:43+00:00,Well done is better than well said.   #UnderdogPicks #ChampionsLeague,0,0,0,0,0,0
MB | #Treble 🌶️,iiishinigami,4/10/2024,01:44:20+00:00,"They can say all the Rudiger pocketed Haaland stuff but there is no use if you shipped three goals..Rudiger &amp; Tchou were so focused on Haaland in the box which allowed Foden &amp; Gvardiol so much time to take the shot from a distance!!! 
#ManCity #RealMadrid
#Championsleague",0,0,0,0,21,0
Maria Thornton,MariaMfrueaai,4/10/2024,01:44:18+00:00,"If you can dream it, you can do it.   #ChampionsLeague",0,0,0,0,0,0
Rachel Vang,VangRlavlehwc,4/10/2024,01:44:00+00:00,"Just as a flower, which seems beautiful has color but no perfume, so are the fruitless words of a man who speaks them but does them not. #ChampionsLeague",0,0,0,0,0,0
gloria mary alvarez,ICLOUDChain,4/10/2024,01:42:39+00:00,"ICLOUDChaiI Token​​

💰A token is an asset that exists on a blockchain for which it is not that network’s native coin.#nsfwtw #Mnakwethu #Belve #ChampionsLeague #GeminiFourth #JokerFolieADeux",0,0,0,0,0,0
Kelly Koch,KwkeylzlKoch,4/10/2024,01:42:22+00:00,The cause is hidden. The effect is visible to all.  #ChampionsLeague,0,0,0,0,0,0
Ameen Hussain,AmeenHu48071548,4/10/2024,01:40:40+00:00,"That was one hell of an UCL night 
#ChampionsLeague #RMAMCI #RealMadridManchesterCity #RealMadrid #Foden",1,0,0,0,34,0
Rohit ❤ $SG,Rohitsh29297592,4/10/2024,01:40:19+00:00,"LISTEN UP FARMERS 📢

FARMING $MOJO = FREE 💰💙

FARMING $PARAM = FREE 💰💙

FARMING $BUBBLE = FREE 💰💙

FARMING @playsomo  $SOMO = FREE 💰💙

FARMING $BEYOND = FREE 💰💙

#JokerFolieADeux #RealMadridManchesterCity #ChampionsLeague #lufc #EidMubarak",0,0,0,0,3,0
Pro_ Sage 🐉 $MON_ ❤️ $BEYOND|| @playsomo | $SOMO,Gem_Matrix009,4/10/2024,01:38:17+00:00,"I'm $BEYOND bullish for $PARAM 
#Eclipse2024 #ChampionsLeague #PARAM #Vinicius",0,0,0,0,3,0
Jean Greer,JenzlahJean,4/10/2024,01:38:11+00:00,Your sacred space is where you can find yourself again and again.  #ChampionsLeague #Ramadan,0,0,0,0,0,0
Zantef $BUBBLE 🫧 $MOJO,zantef4,4/10/2024,01:37:26+00:00,"I see $PIXIZ , I engage ✅

I see $BUBBLE , I engage ✅

I see $MOJO , I engage ✅

I see farmers, I follow 👀

It's that simple MAN 🫡🔥!!! 

#ChampionsLeague #Airdrop #Crypto",1,1,0,0,6,0
beautiful cities 😍,beautifulc2024,4/10/2024,01:37:13+00:00,"Saka diving was a clear penalty.

#ChampionsLeague
#RealMadridManchesterCity
#Arsenal",1,0,1,0,54,0
Karan Singh Bhati,KaranSi57551491,4/10/2024,01:37:11+00:00,"Good morning 🌄🌄 
#ChampionsLeague 
#RealMadridManchesterCity 
#SolarEclipse2024",0,0,0,0,11,0
Sudhanshu Dhankhar $BEYOND $MOJO,sidhubhai28,4/10/2024,01:36:17+00:00,"Possible airdrop in the works @SenderLabs 
#PiNetwork #Foden #ChampionsLeague  #Arsenal #Madrid #BayernMunich #Binance    #Bitcoin    $MOJO $TRIP $EVERY $BLOCK $BUBBLE $PARAM $XTER $COOKIE",0,0,0,0,1,0
HILALIANS,hilalians8,4/10/2024,01:34:50+00:00,"Eid Mubarak to the entire nation! May this #EidUlFitr bring joy, peace, and prosperity to all. Let's cherish the blessings of togetherness and unity as we celebrate this auspicious occasion.   #EidMubarak #Pakistan 🌙🇵🇰
#ChampionsLeague #هلال_شوال #الهلال_النصر_كاس_السوبر… https://t.co/yIe088eC8c",0,0,0,0,23,0
Zantef $BUBBLE 🫧 $MOJO,zantef4,4/10/2024,01:33:57+00:00,"We are @WeArePlanetMojo 
$MOJO FOR EVERYONE 💎💎⛏️

DO NOT STOP FARMING 👇

🚜 $PIXIZ
🚜 $BUBBLE
🚜 $MOJO

DON’T FADE 🫵 

We will get rich 💰

#ChampionsLeague #Airdrop #AirdropCrypto #Crypto",2,2,0,0,7,0
Michael Rbt,MichaelRbt95368,4/10/2024,01:33:31+00:00,"If 1,500 didn’t small 5 people should drop cashapp or PayPal Applepay and get spoil immediately 🤩❤️💵💰💰🥰 #feetpic #paypiggy #findom #SugarBabies #SugarBabyTwitter #ibuyfeetpic #footseller #ChampionsLeague #ChicagoIL",1,0,0,0,4,0
WOOMP!!,Woomp_ig,4/10/2024,01:32:56+00:00,"Isnt @PhilFoden such a wonderfull player! Trust me, just because he is in a squad stacked with quality, he is not being hyped enough. He always steps up in crucial positions. #Foden #RealMadridManchesterCity #ManchesterCity #RealMadrid #ChampionsLeague",1,0,0,0,53,0
